# Sweep_to with Square ONLY
# keep0     keep1       keep2   keep3       keep4
0 0.166025 0.603759    2.09708   4.35842    13.3544
1 0.166025 0.939012    2.35856   7.47018    >100
2 0.166025 1.64546     5.75004   20.339     >100
3 0.166025 2.28499     2.97764   74.1723    >100
4 0.166025 2.65861     3.62293   >100       >100
